dataset,total_compared,tp,tn,fp,fn,accuracy,precision,recall,f1,cohen_kappa,human_hallucination_rate,judge_hallucination_rate,type_accuracy_on_both_positive,type_compared
all,57,24,31,2,0,0.9649122807017544,0.9230769230769231,1.0,0.9600000000000001,0.9288389513108615,0.42105263157894735,0.45614035087719296,0.875,24
pope,29,10,18,1,0,0.9655172413793104,0.9090909090909091,1.0,0.9523809523809523,0.9254498714652958,0.3448275862068966,0.3793103448275862,1.0,10
mathvista,28,14,13,1,0,0.9642857142857143,0.9333333333333333,1.0,0.9655172413793104,0.9285714285714286,0.5,0.5357142857142857,0.7857142857142857,14
