dataset,total_compared,tp,tn,fp,fn,accuracy,precision,recall,f1,cohen_kappa,human_hallucination_rate,judge_hallucination_rate,type_accuracy_on_both_positive,type_compared
all,58,24,30,3,1,0.9310344827586207,0.8888888888888888,0.96,0.923076923076923,0.8607442977190876,0.43103448275862066,0.46551724137931033,0.875,24
pope,30,11,17,2,0,0.9333333333333333,0.8461538461538461,1.0,0.9166666666666666,0.8617511520737328,0.36666666666666664,0.43333333333333335,1.0,11
mathvista,28,13,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428572,0.5,0.5,0.7692307692307693,13
